26-Jul-24 4:18:16 PM: # Cycle 00001 | Well E08, Position 00001 | Channel BRIGHT | Filter GFP | X:144337 Y:-65719 Z:7559
26-Jul-24 4:18:29 PM: # Cycle 00001 | Well E07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-65719 Z:7507
26-Jul-24 4:18:42 PM: # Cycle 00001 | Well E06, Position 00001 | Channel BRIGHT | Filter GFP | X:108784 Y:-65719 Z:7523
26-Jul-24 4:18:55 PM: # Cycle 00001 | Well E05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-65719 Z:7447
26-Jul-24 4:19:08 PM: # Cycle 00001 | Well E04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-65719 Z:7458
26-Jul-24 4:19:21 PM: # Cycle 00001 | Well E03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-65719 Z:7413
26-Jul-24 4:19:35 PM: # Cycle 00001 | Well E02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-65718 Z:7359
26-Jul-24 4:19:48 PM: # Cycle 00001 | Well E01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-65718 Z:7261
26-Jul-24 4:20:04 PM: # Cycle 00001 | Well G01, Position 00001 | Channel BRIGHT | Filter GFP | X:19903 Y:-29925 Z:7246
26-Jul-24 4:20:17 PM: # Cycle 00001 | Well G02, Position 00001 | Channel BRIGHT | Filter GFP | X:37682 Y:-29925 Z:7376
26-Jul-24 4:20:30 PM: # Cycle 00001 | Well G03, Position 00001 | Channel BRIGHT | Filter GFP | X:55455 Y:-29925 Z:7410
26-Jul-24 4:20:42 PM: # Cycle 00001 | Well G04, Position 00001 | Channel BRIGHT | Filter GFP | X:73233 Y:-29925 Z:7462
26-Jul-24 4:20:55 PM: # Cycle 00001 | Well G05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-29925 Z:7470
26-Jul-24 4:21:08 PM: # Cycle 00001 | Well G06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-29925 Z:7488
26-Jul-24 4:21:21 PM: # Cycle 00001 | Well G07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-29925 Z:7518
26-Jul-24 4:21:34 PM: # Cycle 00001 | Well G08, Position 00001 | Channel BRIGHT | Filter GFP | X:144338 Y:-29925 Z:7484
26-Jul-24 4:21:46 PM: # Cycle 00001 | Well G09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-29925 Z:7528
26-Jul-24 4:22:00 PM: # Cycle 00001 | Well G10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-29925 Z:7478
26-Jul-24 4:22:13 PM: # Cycle 00001 | Well G11, Position 00001 | Channel BRIGHT | Filter GFP | X:197665 Y:-29925 Z:7450
26-Jul-24 4:22:26 PM: # Cycle 00001 | Well G12, Position 00001 | Channel BRIGHT | Filter GFP | X:215443 Y:-29924 Z:7400
26-Jul-24 4:22:39 PM: # Cycle 00001 | Well H12, Position 00001 | Channel BRIGHT | Filter GFP | X:215437 Y:-12027 Z:7364
26-Jul-24 4:22:52 PM: # Cycle 00001 | Well H11, Position 00001 | Channel BRIGHT | Filter GFP | X:197664 Y:-12027 Z:7436
26-Jul-24 4:23:05 PM: # Cycle 00001 | Well H10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-12027 Z:7444
26-Jul-24 4:23:18 PM: # Cycle 00001 | Well H09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-12027 Z:7500
26-Jul-24 4:23:31 PM: # Cycle 00001 | Well H08, Position 00001 | Channel BRIGHT | Filter GFP | X:144336 Y:-12027 Z:7518
