30-Aug-24 12:20:35 AM: # Cycle 00002 | Well F04, Position 00001 | Channel BRIGHT | Filter GFP | X:73234 Y:-47824 Z:7427
30-Aug-24 12:20:48 AM: # Cycle 00002 | Well F05, Position 00001 | Channel BRIGHT | Filter GFP | X:91010 Y:-47823 Z:7445
30-Aug-24 12:21:00 AM: # Cycle 00002 | Well F06, Position 00001 | Channel BRIGHT | Filter GFP | X:108788 Y:-47824 Z:7533
30-Aug-24 12:21:13 AM: # Cycle 00002 | Well F07, Position 00001 | Channel BRIGHT | Filter GFP | X:126561 Y:-47824 Z:7503
30-Aug-24 12:21:25 AM: # Cycle 00002 | Well F08, Position 00001 | Channel BRIGHT | Filter GFP | X:144340 Y:-47824 Z:7479
30-Aug-24 12:21:37 AM: # Cycle 00002 | Well F09, Position 00001 | Channel BRIGHT | Filter GFP | X:162117 Y:-47824 Z:7481
30-Aug-24 12:21:50 AM: # Cycle 00002 | Well F10, Position 00001 | Channel BRIGHT | Filter GFP | X:179894 Y:-47824 Z:7453
30-Aug-24 12:22:02 AM: # Cycle 00002 | Well F11, Position 00001 | Channel BRIGHT | Filter GFP | X:197672 Y:-47824 Z:7455
30-Aug-24 12:22:14 AM: # Cycle 00002 | Well F12, Position 00001 | Channel BRIGHT | Filter GFP | X:215448 Y:-47824 Z:7409
30-Aug-24 12:22:31 AM: # Cycle 00002 | Well H12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-12027 Z:7349
30-Aug-24 12:22:43 AM: # Cycle 00002 | Well H11, Position 00001 | Channel BRIGHT | Filter GFP | X:197662 Y:-12027 Z:7437
30-Aug-24 12:22:56 AM: # Cycle 00002 | Well H10, Position 00001 | Channel BRIGHT | Filter GFP | X:179888 Y:-12027 Z:7421
30-Aug-24 12:23:09 AM: # Cycle 00002 | Well H09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-12027 Z:7444
30-Aug-24 12:23:21 AM: # Cycle 00002 | Well H08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-12027 Z:7464
30-Aug-24 12:23:33 AM: # Cycle 00002 | Well H07, Position 00001 | Channel BRIGHT | Filter GFP | X:126559 Y:-12027 Z:7465
30-Aug-24 12:23:46 AM: # Cycle 00002 | Well H06, Position 00001 | Channel BRIGHT | Filter GFP | X:108783 Y:-12027 Z:7446
30-Aug-24 12:23:58 AM: # Cycle 00002 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-12027 Z:7441
30-Aug-24 12:24:11 AM: # Cycle 00002 | Well H04, Position 00001 | Channel BRIGHT | Filter GFP | X:73231 Y:-12027 Z:7366
30-Aug-24 12:24:24 AM: # Cycle 00002 | Well H03, Position 00001 | Channel BRIGHT | Filter GFP | X:55456 Y:-12027 Z:7325
30-Aug-24 12:24:36 AM: # Cycle 00002 | Well H02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-12027 Z:7273
30-Aug-24 12:24:49 AM: # Cycle 00002 | Well H01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-12027 Z:7139
30-Aug-24 4:14:50 AM: # Cycle 00003 | Well B01, Position 00001 | Channel BRIGHT | Filter GFP | X:19903 Y:-119410 Z:7152
30-Aug-24 4:15:02 AM: # Cycle 00003 | Well B02, Position 00001 | Channel BRIGHT | Filter GFP | X:37682 Y:-119410 Z:7228
30-Aug-24 4:15:15 AM: # Cycle 00003 | Well B03, Position 00001 | Channel BRIGHT | Filter GFP | X:55458 Y:-119409 Z:7306
30-Aug-24 4:15:27 AM: # Cycle 00003 | Well B04, Position 00001 | Channel BRIGHT | Filter GFP | X:73233 Y:-119410 Z:7346
30-Aug-24 4:15:39 AM: # Cycle 00003 | Well B05, Position 00001 | Channel BRIGHT | Filter GFP | X:91008 Y:-119410 Z:7342
30-Aug-24 4:15:52 AM: # Cycle 00003 | Well B06, Position 00001 | Channel BRIGHT | Filter GFP | X:108785 Y:-119410 Z:7428
30-Aug-24 4:16:04 AM: # Cycle 00003 | Well B07, Position 00001 | Channel BRIGHT | Filter GFP | X:126561 Y:-119410 Z:7394
30-Aug-24 4:16:17 AM: # Cycle 00003 | Well B08, Position 00001 | Channel BRIGHT | Filter GFP | X:144339 Y:-119411 Z:7427
30-Aug-24 4:16:30 AM: # Cycle 00003 | Well B09, Position 00001 | Channel BRIGHT | Filter GFP | X:162116 Y:-119411 Z:7381
30-Aug-24 4:16:43 AM: # Cycle 00003 | Well B10, Position 00001 | Channel BRIGHT | Filter GFP | X:179893 Y:-119411 Z:7431
30-Aug-24 4:16:55 AM: # Cycle 00003 | Well B11, Position 00001 | Channel BRIGHT | Filter GFP | X:197670 Y:-119412 Z:7433
30-Aug-24 4:17:07 AM: # Cycle 00003 | Well B12, Position 00001 | Channel BRIGHT | Filter GFP | X:215446 Y:-119411 Z:7432
30-Aug-24 4:17:23 AM: # Cycle 00003 | Well D12, Position 00001 | Channel BRIGHT | Filter GFP | X:215437 Y:-83616 Z:7408
30-Aug-24 4:17:35 AM: # Cycle 00003 | Well D11, Position 00001 | Channel BRIGHT | Filter GFP | X:197662 Y:-83616 Z:7380
30-Aug-24 4:17:48 AM: # Cycle 00003 | Well D10, Position 00001 | Channel BRIGHT | Filter GFP | X:179887 Y:-83615 Z:7436
30-Aug-24 4:18:00 AM: # Cycle 00003 | Well D09, Position 00001 | Channel BRIGHT | Filter GFP | X:162113 Y:-83615 Z:7455
30-Aug-24 4:18:13 AM: # Cycle 00003 | Well D08, Position 00001 | Channel BRIGHT | Filter GFP | X:144334 Y:-83615 Z:7446
30-Aug-24 4:18:26 AM: # Cycle 00003 | Well D07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-83615 Z:7471
30-Aug-24 4:18:38 AM: # Cycle 00003 | Well D06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-83615 Z:7441
30-Aug-24 4:18:51 AM: # Cycle 00003 | Well D05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-83615 Z:7387
30-Aug-24 4:19:04 AM: # Cycle 00003 | Well D04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-83615 Z:7330
30-Aug-24 4:19:16 AM: # Cycle 00003 | Well D03, Position 00001 | Channel BRIGHT | Filter GFP | X:55454 Y:-83615 Z:7124
30-Aug-24 4:19:28 AM: # Cycle 00003 | Well D02, Position 00001 | Channel BRIGHT | Filter GFP | X:37680 Y:-83615 Z:7129
30-Aug-24 4:19:41 AM: # Cycle 00003 | Well D01, Position 00001 | Channel BRIGHT | Filter GFP | X:19904 Y:-83615 Z:7023
30-Aug-24 4:19:57 AM: # Cycle 00003 | Well F01, Position 00001 | Channel BRIGHT | Filter GFP | X:19908 Y:-47824 Z:7209
30-Aug-24 4:20:10 AM: # Cycle 00003 | Well F02, Position 00001 | Channel BRIGHT | Filter GFP | X:37684 Y:-47824 Z:7271
30-Aug-24 4:20:22 AM: # Cycle 00003 | Well F03, Position 00001 | Channel BRIGHT | Filter GFP | X:55459 Y:-47824 Z:7357
30-Aug-24 4:20:35 AM: # Cycle 00003 | Well F04, Position 00001 | Channel BRIGHT | Filter GFP | X:73235 Y:-47824 Z:7429
30-Aug-24 4:20:48 AM: # Cycle 00003 | Well F05, Position 00001 | Channel BRIGHT | Filter GFP | X:91011 Y:-47824 Z:7433
30-Aug-24 4:21:00 AM: # Cycle 00003 | Well F06, Position 00001 | Channel BRIGHT | Filter GFP | X:108786 Y:-47824 Z:7524
30-Aug-24 4:21:13 AM: # Cycle 00003 | Well F07, Position 00001 | Channel BRIGHT | Filter GFP | X:126562 Y:-47824 Z:7512
30-Aug-24 4:21:25 AM: # Cycle 00003 | Well F08, Position 00001 | Channel BRIGHT | Filter GFP | X:144340 Y:-47824 Z:7472
30-Aug-24 4:21:37 AM: # Cycle 00003 | Well F09, Position 00001 | Channel BRIGHT | Filter GFP | X:162118 Y:-47824 Z:7492
30-Aug-24 4:21:50 AM: # Cycle 00003 | Well F10, Position 00001 | Channel BRIGHT | Filter GFP | X:179893 Y:-47824 Z:7464
30-Aug-24 4:22:02 AM: # Cycle 00003 | Well F11, Position 00001 | Channel BRIGHT | Filter GFP | X:197672 Y:-47824 Z:7460
30-Aug-24 4:22:15 AM: # Cycle 00003 | Well F12, Position 00001 | Channel BRIGHT | Filter GFP | X:215448 Y:-47824 Z:7412
30-Aug-24 4:22:31 AM: # Cycle 00003 | Well H12, Position 00001 | Channel BRIGHT | Filter GFP | X:215439 Y:-12027 Z:7362
30-Aug-24 4:22:44 AM: # Cycle 00003 | Well H11, Position 00001 | Channel BRIGHT | Filter GFP | X:197662 Y:-12027 Z:7426
30-Aug-24 4:22:56 AM: # Cycle 00003 | Well H10, Position 00001 | Channel BRIGHT | Filter GFP | X:179886 Y:-12027 Z:7428
30-Aug-24 4:23:09 AM: # Cycle 00003 | Well H09, Position 00001 | Channel BRIGHT | Filter GFP | X:162112 Y:-12027 Z:7448
30-Aug-24 4:23:21 AM: # Cycle 00003 | Well H08, Position 00001 | Channel BRIGHT | Filter GFP | X:144335 Y:-12027 Z:7460
30-Aug-24 4:23:33 AM: # Cycle 00003 | Well H07, Position 00001 | Channel BRIGHT | Filter GFP | X:126560 Y:-12027 Z:7465
30-Aug-24 4:23:45 AM: # Cycle 00003 | Well H06, Position 00001 | Channel BRIGHT | Filter GFP | X:108782 Y:-12027 Z:7449
30-Aug-24 4:23:57 AM: # Cycle 00003 | Well H05, Position 00001 | Channel BRIGHT | Filter GFP | X:91007 Y:-12027 Z:7435
30-Aug-24 4:24:11 AM: # Cycle 00003 | Well H04, Position 00001 | Channel BRIGHT | Filter GFP | X:73232 Y:-12027 Z:7368
